file,roi,corrtype,hemi,cb_idx,nvoxels,t
perm_vsm4_IPS2_rh_pearson_tstat1.nii,IPS2,pearson,rh,0.0,901616,0.09
perm_vsm4_IPS2_rh_pearson_tstat1.nii,IPS2,pearson,rh,1.0,75,11.74
perm_vsm4_IPS2_rh_pearson_tstat1.nii,IPS2,pearson,rh,2.0,159,14.49
perm_vsm4_IPS2_rh_pearson_tstat1.nii,IPS2,pearson,rh,3.0,183,12.80
perm_vsm4_IPS2_rh_pearson_tstat1.nii,IPS2,pearson,rh,4.0,159,10.74
perm_vsm4_IPS2_rh_pearson_tstat1.nii,IPS2,pearson,rh,5.0,159,11.65
perm_vsm4_IPS2_rh_pearson_tstat1.nii,IPS2,pearson,rh,6.0,124,12.10
perm_vsm4_IPS2_rh_pearson_tstat1.nii,IPS2,pearson,rh,7.0,32,11.53
perm_vsm4_IPS2_rh_pearson_tstat1.nii,IPS2,pearson,rh,8.0,67,9.01
perm_vsm4_IPS2_rh_pearson_tstat1.nii,IPS2,pearson,rh,9.0,17,9.07
perm_vsm4_IPS2_rh_pearson_tstat1.nii,IPS2,pearson,rh,10.0,38,8.17
perm_vsm4_IPS2_bilat_pearson_tstat1.nii,IPS2,pearson,bilat,0.0,901616,0.10
perm_vsm4_IPS2_bilat_pearson_tstat1.nii,IPS2,pearson,bilat,1.0,75,12.85
perm_vsm4_IPS2_bilat_pearson_tstat1.nii,IPS2,pearson,bilat,2.0,159,15.56
perm_vsm4_IPS2_bilat_pearson_tstat1.nii,IPS2,pearson,bilat,3.0,183,13.84
perm_vsm4_IPS2_bilat_pearson_tstat1.nii,IPS2,pearson,bilat,4.0,159,11.40
perm_vsm4_IPS2_bilat_pearson_tstat1.nii,IPS2,pearson,bilat,5.0,159,12.07
perm_vsm4_IPS2_bilat_pearson_tstat1.nii,IPS2,pearson,bilat,6.0,124,12.53
perm_vsm4_IPS2_bilat_pearson_tstat1.nii,IPS2,pearson,bilat,7.0,32,11.99
perm_vsm4_IPS2_bilat_pearson_tstat1.nii,IPS2,pearson,bilat,8.0,67,9.51
perm_vsm4_IPS2_bilat_pearson_tstat1.nii,IPS2,pearson,bilat,9.0,17,9.51
perm_vsm4_IPS2_bilat_pearson_tstat1.nii,IPS2,pearson,bilat,10.0,38,8.73
perm_vsm4_IPS2_lh_partial_tstat1.nii,IPS2,partial,lh,0.0,901616,0.05
perm_vsm4_IPS2_lh_partial_tstat1.nii,IPS2,partial,lh,1.0,75,7.29
perm_vsm4_IPS2_lh_partial_tstat1.nii,IPS2,partial,lh,2.0,159,8.34
perm_vsm4_IPS2_lh_partial_tstat1.nii,IPS2,partial,lh,3.0,183,6.30
perm_vsm4_IPS2_lh_partial_tstat1.nii,IPS2,partial,lh,4.0,159,5.17
perm_vsm4_IPS2_lh_partial_tstat1.nii,IPS2,partial,lh,5.0,159,5.14
perm_vsm4_IPS2_lh_partial_tstat1.nii,IPS2,partial,lh,6.0,124,6.02
perm_vsm4_IPS2_lh_partial_tstat1.nii,IPS2,partial,lh,7.0,32,5.58
perm_vsm4_IPS2_lh_partial_tstat1.nii,IPS2,partial,lh,8.0,67,4.61
perm_vsm4_IPS2_lh_partial_tstat1.nii,IPS2,partial,lh,9.0,17,4.66
perm_vsm4_IPS2_lh_partial_tstat1.nii,IPS2,partial,lh,10.0,38,4.45
perm_vsm4_IPS2_rh_partial_tstat1.nii,IPS2,partial,rh,0.0,901616,0.05
