"","file","roi","corrtype","hemi","cb_idx","nvoxels","t"
"144","perm_vsm4_IPS1_lh_partial_tstat1.nii","IPS1","partial","lh","Unassigned","901616","0.06"
"145","perm_vsm4_IPS1_lh_partial_tstat1.nii","IPS1","partial","lh","right_lVIIIb","75","6.86"
"146","perm_vsm4_IPS1_lh_partial_tstat1.nii","IPS1","partial","lh","right_mVIIIb","159","8.13"
"147","perm_vsm4_IPS1_lh_partial_tstat1.nii","IPS1","partial","lh","left_mVIIIb","183","6.42"
"148","perm_vsm4_IPS1_lh_partial_tstat1.nii","IPS1","partial","lh","left_lVIIIb","159","5.25"
"149","perm_vsm4_IPS1_lh_partial_tstat1.nii","IPS1","partial","lh","left_VIIb","159","5.44"
"150","perm_vsm4_IPS1_lh_partial_tstat1.nii","IPS1","partial","lh","right_VIIb","124","6.66"
"151","perm_vsm4_IPS1_lh_partial_tstat1.nii","IPS1","partial","lh","left_mOMV","32","6.42"
"152","perm_vsm4_IPS1_lh_partial_tstat1.nii","IPS1","partial","lh","left_lOMV","67","4.99"
"153","perm_vsm4_IPS1_lh_partial_tstat1.nii","IPS1","partial","lh","right_mOMV","17","5.1"
"154","perm_vsm4_IPS1_lh_partial_tstat1.nii","IPS1","partial","lh","right_lOMV","38","4.61"
"155","perm_vsm4_IPS1_rh_partial_tstat1.nii","IPS1","partial","rh","Unassigned","901616","0.04"
"156","perm_vsm4_IPS1_rh_partial_tstat1.nii","IPS1","partial","rh","right_lVIIIb","75","4.33"
"157","perm_vsm4_IPS1_rh_partial_tstat1.nii","IPS1","partial","rh","right_mVIIIb","159","5.07"
"158","perm_vsm4_IPS1_rh_partial_tstat1.nii","IPS1","partial","rh","left_mVIIIb","183","5.96"
"159","perm_vsm4_IPS1_rh_partial_tstat1.nii","IPS1","partial","rh","left_lVIIIb","159","4.75"
"160","perm_vsm4_IPS1_rh_partial_tstat1.nii","IPS1","partial","rh","left_VIIb","159","7.14"
"161","perm_vsm4_IPS1_rh_partial_tstat1.nii","IPS1","partial","rh","right_VIIb","124","6.29"
"162","perm_vsm4_IPS1_rh_partial_tstat1.nii","IPS1","partial","rh","left_mOMV","32","6.01"
"163","perm_vsm4_IPS1_rh_partial_tstat1.nii","IPS1","partial","rh","left_lOMV","67","5.06"
"164","perm_vsm4_IPS1_rh_partial_tstat1.nii","IPS1","partial","rh","right_mOMV","17","4.36"
"165","perm_vsm4_IPS1_rh_partial_tstat1.nii","IPS1","partial","rh","right_lOMV","38","4.3"
"166","perm_vsm4_IPS2_lh_pearson_tstat1.nii","IPS2","pearson","lh","Unassigned","901616","0.09"
"167","perm_vsm4_IPS2_lh_pearson_tstat1.nii","IPS2","pearson","lh","right_lVIIIb","75","11.77"
"168","perm_vsm4_IPS2_lh_pearson_tstat1.nii","IPS2","pearson","lh","right_mVIIIb","159","13.89"
"169","perm_vsm4_IPS2_lh_pearson_tstat1.nii","IPS2","pearson","lh","left_mVIIIb","183","12.18"
"170","perm_vsm4_IPS2_lh_pearson_tstat1.nii","IPS2","pearson","lh","left_lVIIIb","159","9.91"
"171","perm_vsm4_IPS2_lh_pearson_tstat1.nii","IPS2","pearson","lh","left_VIIb","159","10.55"
"172","perm_vsm4_IPS2_lh_pearson_tstat1.nii","IPS2","pearson","lh","right_VIIb","124","11.09"
"173","perm_vsm4_IPS2_lh_pearson_tstat1.nii","IPS2","pearson","lh","left_mOMV","32","10.69"
"174","perm_vsm4_IPS2_lh_pearson_tstat1.nii","IPS2","pearson","lh","left_lOMV","67","8.53"
"175","perm_vsm4_IPS2_lh_pearson_tstat1.nii","IPS2","pearson","lh","right_mOMV","17","8.46"
"176","perm_vsm4_IPS2_lh_pearson_tstat1.nii","IPS2","pearson","lh","right_lOMV","38","7.88"
"177","perm_vsm4_IPS2_rh_pearson_tstat1.nii","IPS2","pearson","rh","Unassigned","901616","0.09"
"178","perm_vsm4_IPS2_rh_pearson_tstat1.nii","IPS2","pearson","rh","right_lVIIIb","75","11.74"
"179","perm_vsm4_IPS2_rh_pearson_tstat1.nii","IPS2","pearson","rh","right_mVIIIb","159","14.49"
"180","perm_vsm4_IPS2_rh_pearson_tstat1.nii","IPS2","pearson","rh","left_mVIIIb","183","12.8"
"181","perm_vsm4_IPS2_rh_pearson_tstat1.nii","IPS2","pearson","rh","left_lVIIIb","159","10.74"
"182","perm_vsm4_IPS2_rh_pearson_tstat1.nii","IPS2","pearson","rh","left_VIIb","159","11.65"
"183","perm_vsm4_IPS2_rh_pearson_tstat1.nii","IPS2","pearson","rh","right_VIIb","124","12.1"
"184","perm_vsm4_IPS2_rh_pearson_tstat1.nii","IPS2","pearson","rh","left_mOMV","32","11.53"
